l	drag	SA	noseMass	Altitude
0.01	1.44692407549185	3074.183457	11.03	-1
1	1.30588961672167	3737.199114	-1	-1
2	1.20753198244268	4502.525298	-1	-1
3	1.165493138177	5319.886340	-1	-1
4	1.14339160965613	6167.587240	-1	-1
5	1.12970716524784	7034.254199	-1	-1
6	1.12939379011146	7913.475752	-1	-1
7	1.13479821432533	8801.401881	-1	-1
8	1.13864836775258	9695.595169	-1	-1
9	1.15173883760397	10594.443104	-1	-1
10	1.16788377905441	11496.838871	-1	-1
