a,b,c,drag
7,0,0,345.881912884651
9,0,0,345.55035117446
8,0,0,345.651236946904
6,0,0,346.24903801307
5,0,0,346.815310463947
5,1,1,345.353388800306
6,1,1,345.164649938111
7,1,1,345.102073636254
8,1,1,345.122844334936
9,1,1,345.341185924925
5,2,2,345.259553391165
6,2,2,345.199421851459
7,2,2,345.239224010093
8,2,2,345.47859730805
9,2,2,346.232181360902
5,2.5,1.65,345.277528859841
6,3,1.65,345.232983418734
7,3.5,1.65,345.323275879647
8,4,1.65,345.64651561757
9,4.5,1.65,346.693775736429
4.130446937970738,0.8494953417752057,3.9458038883056097,346.231206524927
6.8878960247924015,1.5420658688276865,2.44873441787588,345.328783358979
9.0,0.0,1.65,345.653035463452
8.191054832935334,0.8143992304801941,0.9997849464416504,345.150153505439
7.197364759445191,0.9988847970962524,0.9071386694908142,345.156817694199
7.197364759445191,3,0.9071386694908142,345.147389380096
