l	a	b	SA	V	drag	mass	Altitude
5	0	0	6740.672278	72288.047169	0.121131925780181
1	0.5	0	1374.137061	14721.515087	0.177183263627095	-1	-1
1	0	0	1358.985883	14457.609434	0.159891103917889
1	0.5	0.5	1363.671973	14457.609434	0.196305653999942
1	1	1	1411.137203	14460.633987	0.294586625973176
1	0	0.5	1349.831749	14463.658540	0.176515145435661
3	0.5	0	4084.519283	43372.828301	0.125548592911395
3	0	0	4046.823776	44164.545262	0.12351293016196
3	0.5	0.5	4048.426061	43372.828301	0.127368346129994
3	1	1	4083.697793	43372.828301	0.204641076942798
3	0	0.5	4011.173857	43390.975620	0.128635455015176
5	0.5	0.5	6741.635643	72303.169934	0.121467307369588
0	0.5	0	174.928918	0	0.348710906379044
0	0	0	174.928918	0	0.348710906379044
0	0.5	0.5	174.928918	0	0.348710906379044
0	1	1	174.928918	0	0.348710906379044
0	0	0.5	174.928918	0	0.348710906379044
