l	a	b	SA	V	drag	mass	Altitude
5.0	0.0	0.0	6740.672278	72288.047169	0.121131925780181	12.85584676400694	482.18443607616064
1.0	0.5	0.0	1374.137061	14721.515087	0.177183263627095	2.62	489.0441455134496
1.0	0.0	0.0	1358.985883	14457.609434	0.159891103917889	2.585936561857837	489.7055813984334
1.0	0.5	0.5	1363.671973	14457.609434	0.196305653999942	2.5923136464651195	488.3691861581901
1.0	1.0	1.0	1411.137203	14460.633987	0.294586625973176	2.65706098587574	484.7714277719642
1.0	0.0	0.5	1349.831749	14463.65854	0.176515145435661	2.5737872982339507	489.1075619629119
3.0	0.5	0.0	4084.519283	43372.828301	0.125548592911395	7.768099965860182	486.50785286939936
3.0	0.0	0.0	4046.823776	44164.545262	0.12351293016196	7.75713657026532	486.59118225935526
3.0	0.5	0.5	4048.426061	43372.828301	0.127368346129994	7.718982358122506	486.4846891376583
3.0	1.0	1.0	4083.697793	43372.828301	0.204641076942798	7.766982037857511	483.6699921372856
3.0	0.0	0.5	4011.173857	43390.97562	0.128635455015176	7.669212075492515	486.482098788656
5.0	0.5	0.5	6741.635643	72303.169934	0.121467307369588	12.857928205194703	482.1706869947302
0.0	0.5	0.0	174.928918	0.0	0.348710906379044	0.2380527284679646	484.819515729534
0.0	0.0	0.0	174.928918	0.0	0.348710906379044	0.2380527284679646	484.819515729534
0.0	0.5	0.5	174.928918	0.0	0.348710906379044	0.2380527284679646	484.819515729534
0.0	1.0	1.0	174.928918	0.0	0.348710906379044	0.2380527284679646	484.819515729534
0.0	0.0	0.5	174.928918	0.0	0.348710906379044	0.2380527284679646	484.819515729534
1.1998443126678469	0.0002098083496093	0.0500856518745422	1625.043714	17315.658032	0.145388225831044	3.0936081375372515	489.8082996497542
1.1997704029083254	0.00040137767791748047	0.050456452369689944	1624.940136	17314.480590	0.145401908850238		
